Royal Challengers Bangalore,Kolkata Knight Riders,Mumbai Indians,Rajasthan Royals,Kings XI Punjab,Delhi Daredevils,Chennai Super Kings,Sunrisers Hyderabad
Subramaniam Badrinath,Gautam Gambhir,Parthiv Patel,Rajat Bhatia,Virender Sehwag,Albie Morkel,Mahendra Singh Dhoni,Shikhar Dhawan
AB de Villiers,Sumit Narwal,Pragyan Ojha,Ajinkya Rahane,Wriddhiman Saha,Amit Mishra,Mike Hussey,Ishant Sharma
Dinesh Karthik,Azhar Mehmood,Rohit Sharma,Dhawal Kulkarni,Rishi Dhawan,Manoj Tiwary,Ravichandran Ashwin,Laxmi Ratan Shukla
Ashok Dinda,Piyush Chawla,Harbhajan Singh,Dinesh Salunkhe,Shaun Marsh,Yuvraj Singh,Suresh Raina,Siddarth Kaul
Chris Gayle,Manish Pandey,Lasith Malinga,Shane Watson,George Bailey,Saurabh Tiwary,Mithun Manhas,Dale Steyn
Iqbal Abdulla,Robin Uthappa,Vinay Kumar,Rusty Theron,Murali Vijay,Zaheer Khan,Brendon McCullum,Praveen Kumar
Yogesh Takawale,Morne Morkel,Abhimanyu Mithun,Vikramjeet Malik,Anureet Singh,Angelo Mathews,Irfan Pathan,David Warner
Virat Kohli,Yusuf Pathan,Aditya Tare,Stuart Binny,Thisara Perera,JP Duminy,Ashish Nehra,Moises Henriques
Manvinder Bisla,Umesh Yadav,Ambati Rayudu,Steve Smith,David Miller,CM Gautam,Dwayne Bravo,Ravi Bopara
Abu Nechim Ahmed,Chris Lynn,Kieron Pollard,Tim Southee,Manan Vohra,Kedar Jadhav,Dwayne Smith,Bhuvneshwar Kumar
Sreenath Aravind,Ryan ten Doeschate,Aaron Finch,Ankit Sharma,Glenn Maxwell,Jaydev Unadkat,Ravindra Jadeja,Eoin Morgan
Mandeep Singh,Shakib Al Hasan,Ben Hilfenhaus,James Faulkner,Gurkeerat Singh,Shahbaz Nadeem,Rahul Sharma,Karn Sharma
Varun Aaron,Suryakumar Yadav,Unmukt Chand,Dishant Yagnik,Parvinder Awana,Mohammed Shami,Francois du Plessis,Kevin Pietersen
Yuzvendra Chahal,Veer Pratap Singh,Aiden Blizzard,Sanju Samson,Mitchell Johnson,Mayank Agarwal,Eklavya Dwivedi,Naman Ojha
Rilee Rossouw,Andre Russell,Pawan Suyal,Ben Cutting,Sandeep Sharma,Nathan Coulter-Nile,Pawan Negi,Ashish Reddy
Harshal Patel,Sunil Narine,Marchant de Lange,Karun Nair,Axar Patel,Quinton de Kock,Kyle Abbott,Bipul Sharma
Vijay Zol,Kuldeep Yadav,Jasprit Bumrah,Chris Morris,Beuran Hendricks,Imran Tahir,Samuel Badree,Padmanabhan Prasanth
Jalaj Saxena,Brad Hogg,Corey Anderson,Kane Richardson,Karanveer Singh,Jayant Yadav,Baba Aparajith,Parvez Rasool
Sandeep Warrier,Sheldon Jackson,Josh Hazlewood,Pravin Tambe,Shardul Thakur,Domnic Muthuswami,Mohit Sharma,KL Rahul
Darren Sammy,Jimmy Neesham,Lendl Simmons,Deepak Hooda,Shivam Sharma,Gurinder Sandhu,Ronit More,Hanuma Vihari
Mitchell Starc,Pat Cummins,Shreyas Gopal,Rahul Tewatia,Nikhil Naik,KK Jiyas,Ishwar Pandey,Chama Milind
Nic Maddinson,Aditya Garhwal,Akshay Wakhare,Barinder Sran,Yogesh Golwalkar,Marcus Stoinis,Matt Henry,Ricky Bhui
Adam Milne,KC Cariappa,Alex Hales,Pardeep Sahu,,Shreyas Iyer,Ankush Bains,Kane Williamson
David Wiese,Vaibhav Rawal,Colin Munro,Sagar Trivedi,,Srikar Bharat,Andrew Tye,Trent Boult
Sarfaraz Khan,,Hardik Pandya,,,Travis Head,Pratyush Singh,
Sean Abbott,,Jagadeesha Suchith,,,,,
Shishir Bhavane,,Mitchell McClenaghan,,,,,
,,Nitish Rana,,,,,
,,Siddhesh Lad,,,,,
