Season,Deccan Chargers
2010,Adam Gilchrist
2010,Andrew Symonds
2010,Arjun Yadav
2010,Chaminda Vaas
2010,Dwaraka Ravi Teja
2010,Herschelle Gibbs
2010,Mohnish Mishra
2010,Pragyan Ojha
2010,R. P. Singh
2010,Rohit Sharma
2010,Scott Styris
2010,V.V.S. Laxman
2010,Yalaka Venugopal Rao
2010,Fidel Edwards
2010,Dwayne Smith
2010,Azhar Bilakhia
2010,Harmeet Singh
2010,Kemar Roach
2010,Mitchell Marsh
2010,Rahul Sharma
2010,Ryan Harris
2010,Tirumalasetti Suman
2010,Anirudh Singh
2010,Ashish Reddy
2010,Bodapati Sumanth
