Season,Kings XI Punjab
2011,Adam Gilchrist
2011,Dinesh Karthik
2011,David Hussey
2011,Azhar Mehmood
2011,Nitin Saini
2011,Piyush Chawla
2011,Shaun Marsh
2011,Abhishek Nayar
2011,Siddharth Chitnis
2011,Praveen Kumar
2011,Dimitri Mascarenhas
2011,Ryan Harris
2011,Vikramjeet Malik
2011,Ryan McLaren
2011,Paras Dogra
2011,Paul Valthaty
2011,Mandeep Singh
2011,Bipul Sharma
2011,Love Ablish
2011,Shalabh Srivastava
2011,Amit Yadav
2011,Bhargav Bhatt
2011,David Miller
2011,Manan Vohra
2011,Nathan Rimmington
2011,Stuart Broad
2011,Sunny Singh
