Season,Royal Challengers Bangalore
2018,Parthiv Patel
2018,AB de Villiers
2018,Brendon McCullum
2018,Virat Kohli
2018,Umesh Yadav
2018,Mandeep Singh
2018,Tim Southee
2018,Manan Vohra
2018,Yuzvendra Chahal
2018,Pawan Negi
2018,Aniket Choudhary
2018,Nathan Coulter-Nile
2018,Quinton de Kock
2018,Corey Anderson
2018,Sarfaraz Khan
2018,Murugan Ashwin
2018,Navdeep Saini
2018,Chris Woakes
2018,Colin de Grandhomme
2018,Kulwant Khejroliya
2018,Washington Sundar
2018,Mohammed Siraj
2018,Aniruddha Joshi
2018,Moeen Ali
2018,Pavan Deshpande
