Season,Mumbai Indians,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2011,Abu Nechim Ahmed,,,,,,,,
2011,Aditya Tare,,,,,,,,
2011,Aiden Blizzard,69.5,6.0,0.0,0.0,21.0,2.0,4.0,0.0
2011,Ali Murtaza,69.0,5.0,3.0,56.0,0.0,0.0,1.0,0.0
2011,Ambati Rayudu,164.5,16.0,0.0,3.0,44.0,9.0,7.0,1.0
2011,Andrew Symonds,59.0,11.0,1.0,10.0,9.0,3.0,5.0,0.0
2011,Clint McKay,,,,,,,,
2011,Davy Jacobs,49.0,6.0,0.0,0.0,10.0,4.0,2.0,2.0
2011,Dhawal Kulkarni,62.0,6.0,5.0,42.0,0.0,0.0,1.0,0.0
2011,Dilhara Fernando,,,,,,,,
2011,Harbhajan Singh,224.5,15.0,14.0,127.0,9.0,6.0,2.0,0.0
2011,James Franklin,61.5,8.0,3.0,14.0,10.0,2.0,2.0,0.0
2011,Kieron Pollard,184.0,16.0,10.0,73.0,12.0,6.0,10.0,0.0
2011,Lasith Malinga,294.5,16.0,28.0,183.0,0.0,1.0,4.0,0.0
2011,Moises Henriques,,,,,,,,
2011,Munaf Patel,229.5,15.0,22.0,145.0,0.0,0.0,3.0,0.0
2011,Pawan Suyal,,,,,,,,
2011,Rahul Shukla,,,,,,,,
2011,Rajagopal Sathish,17.0,9.0,0.0,7.0,1.0,0.0,3.0,0.0
2011,Ray Price,,,,,,,,
2011,Rohit Sharma,147.0,16.0,0.0,4.0,32.0,13.0,7.0,0.0
2011,Sachin Tendulkar,195.0,16.0,0.0,0.0,67.0,5.0,4.0,0.0
2011,Santosh Yadav,,,,,,,,
2011,Sarul Kanwar,,,,,,,,
2011,Suryakumar Yadav,,,,,,,,
2011,Tirumalasetti Suman,42.0,8.0,0.0,7.0,5.0,5.0,2.0,0.0
2011,Yuzvendra Chahal,,,,,,,,
