Season,Pune Warriors India,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2012,Alfonso Thomas,49.0,4.0,3.0,30.0,1.0,1.0,1.0,0.0
2012,Ali Murtaza,5.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0
2012,Angelo Mathews,108.5,9.0,7.0,50.0,5.0,4.0,3.0,0.0
2012,Anustup Majumdar,24.5,4.0,0.0,0.0,7.0,2.0,0.0,0.0
2012,Ashish Nehra,142.5,13.0,11.0,99.0,1.0,0.0,1.0,0.0
2012,Ashok Dinda,95.0,7.0,9.0,61.0,0.0,0.0,1.0,0.0
2012,Bhuvneshwar Kumar,124.0,11.0,8.0,86.0,4.0,0.0,0.0,0.0
2012,Callum Ferguson,10.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0
2012,Dheeraj Jadhav,,,,,,,,
2012,Eklavya Dwivedi,,,,,,,,
2012,Fidel Edwards,,,,,,,,
2012,Graeme Smith,,,,,,,,
2012,Harpreet Singh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,Harshad Khadiwale,,,,,,,,
2012,James Hopes,,,,,,,,
2012,Jesse Ryder,109.0,11.0,1.0,10.0,23.0,8.0,4.0,0.0
2012,Kamran Khan,,,,,,,,
2012,Krishnakant Upadhyay,13.5,1.0,0.0,10.0,0.0,1.0,0.0,0.0
2012,Luke Wright,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
2012,Manish Pandey,58.5,10.0,0.0,0.0,12.0,6.0,3.0,0.0
2012,Marlon Samuels,129.0,8.0,8.0,66.0,7.0,5.0,0.0,0.0
2012,Mashrafe Mortaza,,,,,,,,
2012,Michael Clarke,61.5,6.0,2.0,22.0,12.0,0.0,1.0,0.0
2012,Mitchell Marsh,,,,,,,,
2012,Mithun Manhas,49.0,10.0,0.0,0.0,10.0,4.0,4.0,0.0
2012,Mohnish Mishra,2.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2012,Murali Kartik,106.0,11.0,4.0,76.0,1.0,1.0,4.0,0.0
2012,Nathan McCullum,,,,,,,,
2012,Rahul Sharma,108.5,11.0,9.0,72.0,0.0,0.0,2.0,0.0
2012,Raiphi Gomez,,,,,,,,
2012,Robin Uthappa,152.5,16.0,0.0,0.0,38.0,10.0,6.0,3.0
2012,Sachin Rana,,,,,,,,
2012,Shrikant Wagh,,,,,,,,
2012,Sourav Ganguly,121.0,15.0,2.0,10.0,30.0,4.0,6.0,0.0
2012,Steve Smith,134.0,15.0,0.0,0.0,24.0,14.0,10.0,0.0
2012,Tamim Iqbal,,,,,,,,
2012,Wayne Parnell,76.0,6.0,5.0,51.0,2.0,0.0,1.0,0.0
2012,Yuvraj Singh,,,,,,,,
