Season,Rajasthan Royals,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2013,Abhishek Raut,,,,,,,,
2013,Aditya Dole,,,,,,,,
2013,Ajinkya Rahane,168.5,18.0,0.0,0.0,42.0,11.0,10.0,0.0
2013,Ajit Chandila,95.0,8.0,6.0,64.0,0.0,0.0,4.0,0.0
2013,Amit Singh,,,,,,,,
2013,Ankeet Chavan,31.5,3.0,1.0,28.0,0.0,0.0,0.0,0.0
2013,Ashok Menaria,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,Brad Hodge,117.0,17.0,0.0,3.0,27.0,9.0,6.0,0.0
2013,Brad Hogg,5.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0
2013,Deepak Chahar,,,,,,,,
2013,Dishant Yagnik,67.0,12.0,0.0,0.0,17.0,2.0,6.0,1.0
2013,Fidel Edwards,,,,,,,,
2013,Harmeet Singh,15.5,1.0,1.0,12.0,0.0,0.0,0.0,0.0
2013,James Faulkner,286.0,16.0,28.0,161.0,5.0,2.0,3.0,0.0
2013,Kevon Cooper,201.5,14.0,19.0,98.0,4.0,2.0,8.0,0.0
2013,Kumar Boresa,,,,,,,,
2013,Kusal Perera,,,,,,,,
2013,Owais Shah,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2013,Pravin Tambe,23.5,3.0,1.0,20.0,0.0,0.0,0.0,0.0
2013,Rahul Dravid,185.0,18.0,0.0,0.0,64.0,5.0,3.0,0.0
2013,Rahul Shukla,30.5,3.0,3.0,15.0,0.0,0.0,2.0,0.0
2013,Sachin Baby,5.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0
2013,Samad Fallah,,,,,,,,
2013,Samuel Badree,7.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0
2013,Sanju Samson,97.5,11.0,0.0,0.0,19.0,5.0,13.0,0.0
2013,Shane Watson,386.0,16.0,13.0,101.0,59.0,22.0,6.0,0.0
2013,Shaun Tait,26.5,3.0,1.0,23.0,0.0,0.0,0.0,0.0
2013,Shreevats Goswami,,,,,,,,
2013,Siddharth Trivedi,174.0,17.0,12.0,122.0,0.0,0.0,4.0,0.0
2013,Sreesanth,84.5,7.0,5.0,67.0,0.0,0.0,0.0,0.0
2013,Stuart Binny,190.0,17.0,6.0,57.0,25.0,12.0,3.0,0.0
2013,Vikramjeet Malik,37.0,3.0,2.0,30.0,0.0,0.0,0.0,0.0
