Season,Royal Challengers Bangalore,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2013,AB de Villiers,157.5,14.0,0.0,0.0,34.0,15.0,8.0,0.0
2013,Abhimanyu Mithun,12.5,1.0,1.0,9.0,0.0,0.0,0.0,0.0
2013,Abhinav Mukund,2.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2013,Andrew McDonald,7.5,1.0,1.0,4.0,0.0,0.0,0.0,0.0
2013,Cheteshwar Pujara,37.5,4.0,0.0,0.0,14.0,0.0,1.0,0.0
2013,Chris Barnwell,,,,,,,,
2013,Chris Gayle,349.0,16.0,3.0,10.0,57.0,51.0,3.0,0.0
2013,Daniel Christian,14.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0
2013,Daniel Vettori,,,,,,,,
2013,Harshal Patel,,,,,,,,
2013,Jaydev Unadkat,150.0,13.0,13.0,102.0,0.0,0.0,1.0,0.0
2013,KB Arun Karthik,38.5,12.0,0.0,0.0,3.0,1.0,9.0,2.0
2013,KL Rahul,15.0,5.0,0.0,0.0,4.0,0.0,2.0,0.0
2013,KP Appanna,,,,,,,,
2013,Karun Nair,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,Mayank Agarwal,33.0,5.0,0.0,0.0,6.0,3.0,3.0,0.0
2013,Moises Henriques,147.5,10.0,7.0,50.0,20.0,3.0,5.0,0.0
2013,Murali Kartik,112.5,11.0,9.0,71.0,0.0,0.0,4.0,0.0
2013,Muttiah Muralitharan,55.0,6.0,3.0,42.0,0.0,0.0,1.0,0.0
2013,Pankaj Singh,,,,,,,,
2013,Prasanth Parameswaran,,,,,,,,
2013,R. P. Singh,143.5,11.0,13.0,88.0,0.0,0.0,4.0,0.0
2013,Ravi Rampaul,175.5,10.0,13.0,109.0,3.0,1.0,4.0,0.0
2013,Rilee Rossouw,,,,,,,,
2013,Sandeep Warrier,,,,,,,,
2013,Saurabh Tiwary,29.0,9.0,0.0,0.0,4.0,4.0,2.0,0.0
2013,Sheldon Jackson,,,,,,,,
2013,Sreenath Aravind,,,,,,,,
2013,Sunny Sohal,,,,,,,,
2013,Syed Mohammed,23.0,4.0,3.0,10.0,1.0,0.0,0.0,0.0
2013,Tillakaratne Dilshan,35.0,5.0,0.0,0.0,12.0,0.0,2.0,0.0
2013,Vijay Zol,,,,,,,,
2013,Vinay Kumar,250.0,16.0,23.0,124.0,6.0,3.0,8.0,0.0
2013,Virat Kohli,254.5,16.0,0.0,0.0,64.0,22.0,7.0,0.0
2013,Zaheer Khan,38.0,2.0,5.0,18.0,0.0,0.0,1.0,0.0
