Season,Rising Pune Supergiant,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2016,Adam Zampa,74.0,5.0,12.0,32.0,0.0,0.0,0.0,0.0
2016,Ajinkya Rahane,184.0,14.0,0.0,0.0,54.0,9.0,7.0,0.0
2016,Albie Morkel,25.5,2.0,2.0,9.0,0.0,2.0,1.0,0.0
2016,Ankit Sharma,23.0,3.0,1.0,17.0,0.0,0.0,1.0,0.0
2016,Ankush Bains,,,,,,,,
2016,Ashok Dinda,122.5,9.0,11.0,84.0,0.0,0.0,0.0,0.0
2016,Baba Aparajith,,,,,,,,
2016,Deepak Chahar,15.5,2.0,0.0,13.0,0.0,0.0,1.0,0.0
2016,Francois du Plessis,84.0,6.0,0.0,0.0,17.0,9.0,4.0,0.0
2016,George Bailey,34.5,6.0,0.0,0.0,9.0,2.0,2.0,0.0
2016,Irfan Pathan,20.5,4.0,0.0,18.0,0.0,0.0,1.0,0.0
2016,Ishant Sharma,52.5,4.0,3.0,37.0,0.0,0.0,2.0,0.0
2016,Ishwar Pandey,,,,,,,,
2016,Jaskaran Singh,,,,,,,,
2016,Kevin Pietersen,23.0,4.0,0.0,0.0,4.0,3.0,1.0,0.0
2016,Mahendra Singh Dhoni,124.0,14.0,0.0,0.0,18.0,14.0,8.0,4.0
2016,Mitchell Marsh,42.0,3.0,4.0,28.0,0.0,0.0,0.0,0.0
2016,Murugan Ashwin,79.5,10.0,7.0,55.0,0.0,0.0,0.0,0.0
2016,Peter Handscomb,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,R. P. Singh,39.5,4.0,3.0,29.0,0.0,0.0,0.0,0.0
2016,Rajat Bhatia,89.5,10.0,6.0,54.0,1.0,2.0,2.0,0.0
2016,Ravichandran Ashwin,146.5,14.0,10.0,93.0,3.0,1.0,3.0,0.0
2016,Saurabh Tiwary,66.5,10.0,0.0,0.0,17.0,4.0,4.0,0.0
2016,Scott Boland,21.0,2.0,2.0,14.0,0.0,0.0,0.0,0.0
2016,Steve Smith,100.5,8.0,0.0,0.0,27.0,8.0,2.0,0.0
2016,Thisara Perera,156.0,12.0,9.0,56.0,7.0,11.0,5.0,0.0
2016,Usman Khawaja,48.0,6.0,0.0,0.0,14.0,3.0,1.0,0.0
