,Royal Challengers Bangalore,Kolkata Knight Riders,Mumbai Indians,Rajasthan Royals,Kings XI Punjab,Delhi Daredevils,Chennai Super Kings,Sunrisers Hyderabad
0,Parthiv Patel,Dinesh Karthik,Rohit Sharma,Ajinkya Rahane,Ravichandran Ashwin,Amit Mishra,Mahendra Singh Dhoni,Siddarth Kaul
1,AB de Villiers,Piyush Chawla,Yuvraj Singh,Dhawal Kulkarni,Chris Gayle,Shikhar Dhawan,Suresh Raina,Wriddhiman Saha
2,Dale Steyn,Robin Uthappa,Lasith Malinga,Jaydev Unadkat,Moises Henriques,Ishant Sharma,Dwayne Bravo,Manish Pandey
3,Virat Kohli,Chris Lynn,Aditya Tare,Varun Aaron,Mandeep Singh,Colin Ingram,Harbhajan Singh,Shreevats Goswami
4,Umesh Yadav,Shrikant Mundhe,Kieron Pollard,Stuart Binny,Mohammed Shami,Harshal Patel,Ravindra Jadeja,Yusuf Pathan
5,Tim Southee,Andre Russell,Suryakumar Yadav,Steve Smith,David Miller,Chris Morris,Shane Watson,David Warner
6,Yuzvendra Chahal,Sunil Narine,Ben Cutting,Manan Vohra,Mayank Agarwal,Axar Patel,Murali Vijay,Bhuvneshwar Kumar
7,Pawan Negi,Kuldeep Yadav,Jasprit Bumrah,Sanju Samson,Karun Nair,Jalaj Saxena,Karn Sharma,Shahbaz Nadeem
8,Gurkeerat Singh,Sandeep Warrier,Quinton de Kock,Shreyas Gopal,Ankit Rajpoot,Hanuma Vihari,Kedar Jadhav,Shakib Al Hasan
9,Nathan Coulter-Nile,KC Cariappa,Jayant Yadav,Jos Buttler,KL Rahul,Ankush Bains,Ambati Rayudu,Vijay Shankar
10,Milind Kumar,Nikhil Naik,Beuran Hendricks,Shashank Singh,Andrew Tye,Rahul Tewatia,Francois du Plessis,Sandeep Sharma
11,Marcus Stoinis,Nitish Rana,Hardik Pandya,Krishnappa Gowtham,Sarfaraz Khan,Shreyas Iyer,Deepak Chahar,Deepak Hooda
12,Akshdeep Nath,Carlos Brathwaite,Mitchell McClenaghan,Ben Stokes,Murugan Ashwin,Colin Munro,Mohit Sharma,Ricky Bhui
13,Navdeep Saini,Rinku Singh,Siddhesh Lad,Rahul Tripathi,Nicholas Pooran,Jagadeesha Suchith,Imran Tahir,Kane Williamson
14,Colin de Grandhomme,Lockie Ferguson,Adam Milne,Aryaman Birla,Mujeeb Ur Rahman,Trent Boult,Shardul Thakur,Khaleel Ahmed
15,Kulwant Khejroliya,Kamlesh Nagarkoti,Barinder Sran,Ish Sodhi,Agnivesh Ayachi,Rishabh Pant,Sam Billings,Martin Guptill
16,Washington Sundar,Prasidh Krishna,Ishan Kishan,Jofra Archer,Arshdeep Singh,Nathu Singh,Chaitanya Bishnoi,Basil Thampi
17,Mohammed Siraj,Shivam Mavi,Krunal Pandya,Mahipal Lomror,Darshan Nalkande,Kagiso Rabada,David Willey,T Natarajan
18,Moeen Ali,Shubman Gill,Rahul Chahar,Prashant Chopra,Hardus Viljoen,Avesh Khan,Dhruv Shorey,Billy Stanlake
19,Heinrich Klaasen,Anrich Nortje,Anukul Roy,Sudhesan Midhun,Harpreet Brar,Manjot Kalra,KM Asif,Mohammad Nabi
20,Devdutt Padikkal,Harry Gurney,Evin Lewis,Ashton Turner,Prabhsimran Singh,Prithvi Shaw,Lungi Ngidi,Rashid Khan
21,Himmat Singh,Joe Denly,Jason Behrendorff,Liam Livingstone,Sam Curran,Sandeep Lamichhane,Mitchell Santner,Abhishek Sharma
22,Prayas Ray Barman,Matthew Kelly,Mayank Markande,Oshane Thomas,Varun Chakravarthy,Bandaru Ayyappa,Monu Kumar,Jonny Bairstow
23,Shimron Hetmyer,Prithvi Raj,Alzarri Joseph,Riyan Parag,,Keemo Paul,Nayaran Jagadeesan,
24,Shivam Dube,,Anmolpreet Singh,Shubham Ranjane,,Sherfane Rutherford,Ruturaj Gaikwad,
25,,,Pankaj Jaiswal,,,,Scott Kuggeleijn,
26,,,Rasikh Salam Dar,,,,,
